Òèðàæ;Øàð 1;Øàð 2;Øàð 3;Øàð 4;Øàð 5;Øàð 6;Øàð 7;Øàð 8;Øàð 9;Øàð 10;Øàð 11;Øàð 12;Øàð 13;Øàð 14;Øàð 15;Øàð 16;Øàð 17;Øàð 18;Øàð 19;Øàð 20
1127;59;9;6;4;11;25;27;54;24;38;44;36;56;17;19;28;53;37;52;43
1128;41;37;2;30;5;21;12;58;4;23;26;47;43;52;11;6;54;28;16;9
1129;47;21;6;36;38;28;56;44;50;29;31;40;34;7;45;17;53;5;35;18
1130;45;43;31;19;36;49;38;27;44;52;21;26;29;18;60;10;25;48;3;4
1131;48;60;26;24;1;22;59;11;3;40;57;13;58;39;31;41;47;37;30;52
1132;12;15;25;50;51;27;48;44;52;43;13;34;58;23;47;10;14;37;22;38
1133;56;18;43;53;33;7;10;5;27;25;32;58;13;23;14;19;15;51;54;12
1134;13;35;20;19;6;18;21;36;8;42;60;55;49;15;11;23;58;57;47;5
1135;11;42;47;22;7;46;3;4;24;8;59;20;38;40;21;45;55;60;27;5
1136;42;51;21;48;6;19;59;24;1;38;25;7;9;43;34;3;40;47;56;22
1137;8;4;35;49;60;18;11;7;36;2;19;20;3;34;30;22;58;53;16;39
1138;43;58;55;15;25;57;27;14;37;34;56;29;2;13;36;21;20;42;52;10
1139;10;35;28;9;47;8;13;26;29;60;22;55;49;17;51;30;37;45;14;27
1140;21;53;2;59;41;36;45;13;25;9;20;52;6;14;55;49;7;4;23;11
1141;41;47;16;43;7;22;21;34;32;1;9;56;57;59;60;23;24;58;45;14
1142;29;45;18;27;44;46;50;23;47;15;57;9;17;28;40;14;32;54;34;10
1143;40;36;44;26;24;48;2;4;23;41;27;50;60;37;57;59;11;5;8;43
1144;55;54;25;4;39;18;11;3;53;21;14;45;1;2;58;13;41;42;12;26
1145;10;40;4;15;12;34;2;28;48;36;43;52;56;35;45;57;6;54;1;17
1146;49;52;4;33;26;46;15;37;13;60;24;27;29;16;57;51;56;43;45;55
1147;33;27;32;58;34;53;47;12;5;26;23;15;52;17;1;46;44;56;16;59
1148;21;56;22;23;17;58;16;33;32;24;43;26;45;29;57;41;18;27;54;31
1149;54;47;37;40;26;18;31;12;48;8;50;51;39;28;56;5;59;23;19;43
1150;23;1;18;17;40;11;10;36;25;2;37;57;39;22;9;4;52;45;53;34
1151;44;12;42;58;56;35;48;41;36;1;38;26;15;29;45;53;49;6;20;27
1152;57;40;17;24;37;53;4;12;31;33;29;43;20;56;39;32;23;25;11;15
1153;30;50;13;11;34;21;37;54;5;46;7;40;2;48;53;16;6;39;44;9
1154;37;44;58;9;22;55;32;50;46;48;16;33;60;49;13;10;3;57;29;26
1155;3;54;31;37;49;60;18;7;39;10;24;48;13;59;28;57;20;46;41;40
1156;17;24;35;25;32;16;31;55;8;36;54;10;11;58;49;46;60;43;37;27
1157;50;52;49;3;19;55;44;21;4;43;33;13;22;18;24;28;47;16;51;11
1158;2;28;53;11;16;4;30;15;45;60;8;27;32;48;52;24;49;33;1;34
1159;38;25;18;35;23;34;20;19;43;52;21;45;2;8;12;7;55;50;10;29
1160;58;20;51;53;55;3;4;19;50;40;45;17;43;23;2;48;38;33;36;27
1161;18;34;20;26;58;56;37;5;17;43;31;35;3;38;27;50;19;24;16;29
1162;42;1;16;35;26;7;5;46;30;20;45;55;49;21;44;43;15;2;27;37
1163;32;20;54;5;49;13;53;22;52;42;56;58;34;29;9;7;18;14;30;16
1164;31;26;51;46;57;9;58;55;41;35;11;27;40;48;5;59;17;56;1;33
1165;18;48;50;38;40;34;13;30;57;51;16;15;52;60;24;11;56;49;14;9
1166;20;35;53;9;43;59;39;4;55;31;25;14;47;45;56;19;16;52;3;17
1167;24;30;45;54;39;43;46;34;3;14;37;22;40;8;42;59;27;56;21;12
1168;44;38;5;17;49;11;16;21;18;40;1;19;3;24;51;34;56;47;23;32
1169;46;31;11;44;21;55;58;19;25;28;57;23;22;37;12;3;18;39;42;27
1170;54;47;36;50;20;2;57;51;28;5;58;1;21;26;14;42;23;34;41;44
1171;18;4;27;6;35;56;37;2;32;59;28;8;40;25;42;46;13;16;3;44
1172;53;58;20;11;30;52;9;55;15;41;13;1;16;45;49;18;54;3;39;35
1173;23;16;57;43;39;38;13;40;25;47;9;29;2;19;15;27;49;37;6;18
1174;4;2;9;8;29;48;60;5;14;26;15;55;7;12;34;58;18;43;11;20
1175;49;5;44;28;19;39;20;13;46;26;4;22;57;1;47;54;55;53;30;27
1176;55;48;45;14;19;23;26;57;2;34;46;32;20;42;52;58;51;33;53;10
1177;20;9;5;18;6;59;25;2;32;57;33;56;39;46;4;10;51;3;37;52
1178;34;10;2;44;25;20;12;49;29;16;38;11;6;51;5;56;43;7;18;24
1179;55;37;49;20;60;3;17;8;47;22;45;19;35;13;23;53;31;36;34;48
1180;2;19;48;41;28;21;42;44;26;22;40;53;14;18;32;47;54;31;11;57
1181;50;57;14;30;3;24;12;22;20;55;36;15;35;16;21;53;38;31;11;52
1182;31;21;54;9;47;12;1;49;18;41;59;44;56;57;43;4;11;29;25;24
1183;42;47;28;50;60;56;8;36;40;17;11;26;52;38;20;49;51;37;32;6
1184;27;22;17;15;40;35;60;34;33;37;13;10;7;38;58;21;43;16;54;18
1185;48;6;9;14;39;53;8;47;15;7;17;56;38;12;1;31;29;35;23;41
1186;38;2;52;24;39;47;56;34;1;59;60;4;48;9;25;30;23;45;7;37
1187;60;21;40;48;51;16;17;2;24;9;54;7;5;28;4;59;6;46;3;56
1188;50;38;17;2;16;14;33;56;7;19;42;27;4;39;48;54;29;23;12;40
1189;57;33;11;36;4;51;13;15;14;16;32;31;49;20;53;40;23;19;10;30
1190;41;46;4;3;17;33;39;58;2;21;59;47;34;1;23;49;11;5;44;25
1191;60;29;14;43;24;15;27;1;45;38;6;21;8;9;19;46;34;23;56;59
1192;9;6;10;52;40;36;11;59;54;25;39;7;8;43;50;32;26;53;17;41
1193;21;23;57;22;18;41;49;59;20;8;40;12;46;35;7;24;44;15;10;6
1194;5;35;10;15;8;39;36;55;51;12;52;31;19;6;37;49;54;7;20;38
1195;2;31;10;4;54;12;59;34;1;51;26;27;19;55;48;39;52;16;56;22
1196;27;41;17;22;44;54;49;25;46;7;45;18;10;26;36;24;40;4;50;56
1197;50;2;48;52;59;10;14;1;42;47;5;35;7;57;13;6;9;54;58;32
1198;27;12;28;35;10;13;4;21;56;45;55;43;7;5;40;9;22;18;25;60
1199;20;49;19;22;39;28;8;60;12;32;16;52;56;51;33;24;3;10;36;31
1200;24;11;57;38;52;34;23;8;59;54;16;13;41;50;31;35;22;17;5;60
1201;47;25;31;23;19;5;53;37;9;6;42;60;11;13;39;1;35;56;30;55
1202;21;22;5;6;46;29;17;35;38;43;54;53;31;4;39;50;3;24;45;18
1203;48;44;2;18;51;39;55;54;53;36;22;52;10;32;15;9;7;46;42;37
1204;1;14;34;16;57;40;10;49;12;36;22;19;32;5;21;56;54;59;23;43
1205;55;41;19;23;3;7;57;16;47;37;52;17;56;9;12;6;39;30;11;22
1206;14;54;22;52;31;10;3;53;37;58;48;28;55;60;12;17;16;56;46;29
1207;29;16;48;10;18;30;38;12;2;21;20;45;25;36;32;58;35;55;27;50
1208;8;2;41;29;33;18;16;17;45;38;35;42;10;24;4;5;44;21;36;22
1209;57;48;43;37;50;45;17;12;2;19;51;25;28;32;34;55;3;58;15;53
1210;59;12;56;9;26;41;55;27;52;15;60;3;16;36;24;33;1;48;37;20
1211;45;50;8;33;49;26;56;19;47;31;48;22;23;40;18;57;7;14;27;38
1212;51;49;5;31;60;44;54;15;50;53;55;33;45;48;43;28;38;22;36;35
1213;20;27;53;14;9;5;6;15;36;7;3;12;52;2;23;58;50;48;43;26
1214;25;26;2;9;60;55;22;24;18;42;11;52;50;38;41;29;53;31;43;13
1215;60;41;50;45;31;44;35;51;16;13;26;29;48;20;10;40;37;1;28;17
1216;20;54;58;59;27;3;55;50;60;21;49;36;43;5;33;18;8;47;15;12
1217;30;53;47;24;40;9;27;20;48;2;42;12;46;34;36;58;55;22;28;15
1218;17;59;22;43;30;50;5;33;13;11;20;49;37;27;36;23;53;31;47;26
1219;30;33;2;51;20;18;4;23;47;25;3;48;14;1;39;57;35;40;11;54
1220;56;47;9;39;46;38;31;11;51;55;30;25;14;3;5;41;8;40;17;29
1221;43;12;31;4;5;39;8;34;19;57;15;23;45;6;18;52;28;2;25;40
1222;27;57;17;36;10;49;30;28;20;3;1;32;45;29;6;13;11;47;4;48
1223;43;30;22;48;28;41;55;11;54;57;32;6;19;56;45;27;20;9;3;24
1224;27;48;16;2;32;33;7;53;47;26;58;13;44;46;52;56;43;37;36;39
1225;44;3;60;19;34;58;16;45;5;33;14;51;23;27;54;53;7;38;15;2
1226;17;57;59;39;37;55;50;19;13;6;33;18;4;36;24;44;20;40;52;27
1227;54;15;47;38;12;3;21;10;37;55;57;33;4;30;49;32;44;51;36;5
1228;19;24;18;5;38;17;54;10;28;7;32;27;4;8;49;46;47;33;43;51
1229;29;32;12;49;7;31;35;27;54;24;48;58;37;60;38;8;19;55;13;43
1230;3;44;15;43;29;31;38;59;20;1;57;42;36;28;46;18;19;23;11;48
1231;42;51;33;22;54;57;6;53;9;56;16;39;50;20;35;36;48;23;4;32
1232;21;18;43;17;9;40;26;52;3;34;50;10;5;33;16;31;42;14;46;44
1233;59;11;24;48;26;15;60;54;27;46;42;51;55;50;38;9;10;16;28;53
1234;17;41;33;3;57;36;7;21;52;42;60;56;48;50;19;24;1;11;43;18
1235;44;60;56;21;43;5;23;9;54;24;49;31;58;17;12;55;2;45;13;3
1236;50;3;60;36;24;54;25;26;44;9;8;34;14;51;52;53;2;40;30;10
1237;42;25;29;3;48;9;24;50;30;19;56;21;59;23;26;22;45;51;53;5
1238;54;1;51;40;12;9;24;33;17;16;8;11;7;3;60;26;20;32;55;35
1239;29;5;34;15;44;60;55;42;39;30;12;58;54;14;2;26;27;16;35;53
1240;49;38;29;11;24;31;8;2;3;9;6;36;16;52;17;59;58;26;48;34
1241;48;32;4;51;53;20;57;11;54;44;27;36;1;8;47;28;58;39;17;56
1242;59;11;19;51;60;18;56;1;17;8;12;21;5;9;40;31;44;34;33;53
1243;46;26;47;9;56;49;25;17;20;19;55;22;27;1;11;53;43;37;2;35
1244;16;6;49;29;8;46;52;59;50;19;20;3;48;23;21;13;56;54;58;38
1245;59;5;37;38;60;12;41;34;2;6;21;58;52;15;8;31;32;26;28;39
1246;51;33;59;16;19;6;30;35;7;9;34;53;56;10;37;57;18;1;2;4
1247;52;45;5;60;18;12;55;29;6;50;31;8;26;41;4;16;13;21;36;43
1248;4;44;6;41;39;2;40;5;25;31;9;37;43;45;57;50;28;11;48;55
1249;49;22;52;37;55;2;59;28;46;5;18;7;27;53;50;32;40;54;38;24
1250;56;22;33;14;50;57;59;11;13;52;31;7;55;53;12;29;41;25;5;24
1251;2;7;52;53;16;13;20;46;12;1;49;51;17;15;11;3;31;19;5;33
1252;17;37;14;16;33;27;35;1;58;53;39;43;38;3;50;52;48;9;36;19
1253;23;30;17;40;57;41;31;20;10;49;43;5;46;6;52;28;14;13;45;9
1254;1;28;34;21;60;2;48;35;16;46;41;59;33;18;7;22;42;44;50;37
1255;6;43;39;53;29;4;5;20;13;28;44;27;17;26;1;12;40;51;50;8
1256;45;4;56;10;43;6;13;23;27;1;7;36;41;2;12;15;8;14;29;53
1257;37;60;10;34;24;25;53;15;35;42;17;8;51;22;20;23;9;54;49;18
1258;36;22;45;52;7;25;42;29;6;21;9;54;23;31;5;3;4;37;16;48
1259;50;39;60;33;25;57;34;26;14;16;8;2;59;38;47;9;37;46;7;31
1260;32;33;39;35;49;41;52;10;53;56;57;9;6;11;19;37;29;30;13;14
1261;30;56;27;57;9;43;55;29;59;28;49;3;51;26;31;2;12;40;50;5
1262;23;36;34;9;21;57;27;44;50;8;28;33;22;17;10;5;46;41;45;11
1263;39;34;58;15;13;36;12;54;53;45;35;9;50;7;27;26;40;19;10;33
1264;38;39;57;20;18;34;35;19;3;13;6;1;59;7;27;36;48;41;43;52
1265;51;29;47;31;27;38;25;6;19;42;45;50;40;57;32;54;33;44;8;16
1266;33;25;40;4;23;47;54;9;45;37;26;10;28;18;13;24;44;20;5;8
1267;46;10;40;2;29;28;23;31;7;44;59;18;38;4;52;8;22;39;1;45
1268;18;11;51;45;8;16;47;60;27;52;21;46;28;53;10;33;4;19;15;48
1269;13;29;59;30;52;4;60;6;39;12;21;50;48;7;28;42;18;41;11;56
1270;12;42;3;16;49;50;9;15;57;1;25;60;4;22;24;51;28;34;18;30
1271;21;5;44;36;30;14;24;53;9;46;59;16;11;25;52;40;10;43;12;41
1272;7;2;48;28;43;16;17;47;42;49;52;21;3;29;33;60;19;9;6;11
1273;46;20;13;45;31;3;17;57;16;47;23;37;36;32;49;60;6;15;50;58
1274;44;23;49;40;26;25;52;14;32;58;5;39;48;13;1;38;4;15;2;3
1275;7;32;44;39;31;36;22;5;12;47;26;37;43;58;51;4;59;20;57;52
1276;7;30;15;5;21;59;57;53;9;11;44;23;14;52;24;41;31;13;18;17
1277;58;4;38;45;50;19;20;51;40;28;35;29;43;34;18;46;15;60;8;6
1278;14;6;31;48;29;11;9;51;56;24;26;17;57;49;25;16;50;60;22;54
1279;55;5;30;26;43;50;51;56;25;17;28;16;20;58;33;7;21;52;13;1
1280;19;59;15;36;39;13;49;4;5;45;56;48;50;9;60;20;14;11;57;40
1281;41;15;53;29;35;45;43;58;56;5;33;32;28;31;6;39;10;50;2;12
1282;11;16;58;3;18;43;46;17;53;59;31;29;40;14;52;24;50;45;25;5
1283;42;39;24;6;12;45;32;3;7;48;14;8;19;20;55;44;51;36;59;57
1284;58;27;32;28;34;9;35;29;3;8;10;7;50;1;41;46;60;57;21;25
1285;27;26;12;42;52;21;3;54;44;32;53;33;34;11;20;6;19;22;48;50
1286;39;4;49;45;12;13;40;17;48;51;30;36;50;20;59;37;32;7;9;31
1287;38;43;51;14;33;55;17;5;27;6;42;34;49;52;1;53;35;25;19;46
1288;40;3;14;59;38;58;29;45;36;41;44;13;8;50;9;19;54;55;27;21
1289;10;15;55;26;53;39;20;21;2;22;29;35;16;25;9;57;52;4;44;60
1290;27;3;24;58;60;39;16;20;18;13;30;55;50;2;22;26;9;45;38;36
1291;49;10;15;46;5;8;33;47;1;4;28;20;25;18;55;37;23;29;56;6
1292;60;38;2;3;48;53;28;50;49;39;18;33;43;46;56;6;52;4;30;57
1293;12;57;49;34;13;48;50;27;51;7;38;46;20;54;16;15;21;41;22;58
1294;57;2;33;26;4;56;27;34;12;15;58;16;13;11;9;50;59;36;35;53
1295;13;21;46;18;47;42;12;3;8;53;1;19;54;23;40;2;43;51;48;39
1296;17;42;52;33;41;9;37;1;7;13;8;43;58;18;25;24;48;29;38;50
1297;15;39;31;58;16;12;26;54;59;6;40;57;43;28;25;23;36;27;7;29
1298;17;36;35;45;14;2;32;11;42;9;12;59;56;7;51;27;21;16;15;23
1299;51;57;60;3;8;39;1;15;37;6;49;54;50;59;11;12;41;29;30;23
1300;27;28;16;20;49;5;14;1;54;59;43;12;37;3;38;53;42;32;44;41
1301;34;24;45;13;21;51;37;23;52;27;36;18;57;38;11;35;6;43;44;56
1302;3;25;39;29;2;12;46;44;6;41;9;34;52;59;40;45;31;51;58;21
1303;7;31;11;46;13;42;40;49;44;5;3;21;23;36;6;1;32;54;18;10
1304;49;20;31;43;8;44;29;41;42;3;60;24;37;52;53;16;2;22;10;19
1305;2;4;36;43;8;44;11;37;51;3;42;27;6;19;17;38;5;18;49;23
1306;35;37;3;38;4;25;18;21;36;31;42;47;9;5;2;53;43;59;54;57
1307;29;37;41;40;10;8;50;27;7;39;3;19;48;34;51;22;42;21;35;32
1308;35;30;37;50;6;41;16;3;18;53;48;4;59;44;43;26;7;47;8;9
1309;47;60;31;27;33;22;13;39;59;2;49;21;58;3;36;48;34;14;57;55
1310;47;32;21;17;50;8;22;26;24;15;4;10;30;13;53;18;40;12;3;16
1311;31;46;29;11;20;59;14;30;34;2;44;22;48;17;25;53;27;9;47;21
1312;55;54;8;14;37;10;26;19;39;59;22;5;32;51;34;24;60;18;43;45
1313;4;45;5;55;58;29;26;30;21;18;35;34;56;42;31;12;54;53;24;22
1314;50;40;21;31;58;32;55;25;2;23;43;3;10;19;56;28;13;37;47;1
1315;40;19;36;1;39;47;5;32;23;8;45;55;31;9;11;27;16;24;4;28
1316;50;52;22;47;57;9;29;12;20;10;7;55;2;5;56;42;18;16;11;34
1317;48;12;56;1;30;51;16;60;37;19;42;49;44;40;34;4;43;26;39;47
1318;45;23;59;52;2;15;22;60;50;36;33;16;38;56;1;13;40;14;9;18
1319;13;42;34;3;19;5;43;48;17;18;15;20;22;30;2;1;37;58;46;33
1320;11;5;53;58;34;15;27;18;24;23;12;4;13;7;6;31;37;39;51;28
1321;35;42;10;18;16;52;41;32;14;15;11;25;43;37;36;50;9;3;48;13
1322;3;46;25;6;55;14;53;10;47;1;60;36;22;50;15;41;42;30;56;9
1323;49;46;6;41;18;42;1;2;7;60;12;31;13;25;24;16;27;14;30;55
1324;36;26;7;3;13;56;45;29;25;38;27;2;6;5;22;9;35;16;58;30
1325;3;21;37;4;6;24;46;35;30;14;1;48;10;40;44;12;31;18;53;22
1326;7;27;17;54;47;1;14;13;57;3;19;24;20;35;55;49;31;28;60;10
1327;47;20;36;27;1;21;49;53;33;18;19;12;8;30;39;58;43;35;7;52
1328;25;49;26;33;45;7;60;56;44;24;53;46;43;48;19;14;50;4;13;3
1329;14;27;1;37;6;35;41;24;10;53;18;31;58;16;25;51;36;20;55;32
1330;17;23;29;32;58;44;40;18;21;33;24;55;52;9;46;56;3;54;12;25
1331;55;57;47;11;59;8;29;20;2;42;23;52;60;35;53;44;16;54;36;25
1332;1;12;17;52;60;19;2;59;53;30;5;22;10;44;28;35;18;25;11;27
1333;23;39;14;55;2;54;46;17;6;53;1;57;33;11;27;58;28;10;44;36
1334;2;30;42;6;52;14;48;7;28;10;20;51;45;4;41;56;50;29;3;11
1335;46;24;44;23;56;42;33;2;40;13;32;35;10;51;8;14;58;43;12;16
1336;20;59;36;8;57;28;27;29;58;30;10;55;26;32;51;34;15;44;45;7
1337;30;1;59;58;24;19;36;17;22;35;2;14;55;45;46;32;13;12;26;27
1338;40;46;18;36;16;29;48;8;49;24;45;38;43;1;17;26;32;39;50;5
1339;7;60;26;22;34;19;1;55;47;48;59;4;32;43;57;53;44;30;50;37
1340;40;47;31;3;1;45;34;19;36;29;39;53;14;10;49;7;44;11;51;52
1341;48;28;45;17;49;18;11;37;54;7;21;34;24;53;52;29;59;39;57;25
1342;36;26;49;44;54;18;56;27;34;19;25;5;37;2;12;42;33;30;7;9
1343;56;37;19;5;58;53;60;27;50;18;26;36;25;44;24;35;13;11;17;48
1344;27;55;30;18;58;51;59;40;21;17;22;3;12;8;29;15;20;57;23;31
1345;26;50;58;2;12;51;11;43;25;5;19;36;15;27;4;34;54;37;22;14
1346;36;9;45;14;10;16;47;20;53;22;8;1;7;19;35;43;24;55;17;34
1347;39;44;23;22;12;37;6;53;42;48;50;36;33;40;49;13;35;38;7;30
1348;16;31;25;33;5;32;34;15;21;43;60;39;22;17;4;18;3;36;12;47
1349;24;28;27;18;3;9;36;23;42;20;35;12;34;2;33;17;13;32;25;44
1350;39;24;57;34;16;54;36;35;52;37;47;59;15;44;10;50;21;60;30;45
1351;5;56;12;52;41;60;43;40;47;15;59;48;22;39;19;44;26;34;25;50
1352;53;44;9;38;8;2;41;33;35;31;57;13;52;60;18;26;21;51;3;17
1353;54;58;25;16;14;52;5;9;46;13;22;42;47;36;60;48;21;45;50;20
1354;10;58;28;59;26;1;29;57;9;2;45;44;12;39;41;14;49;38;52;21
1355;11;35;59;7;28;18;36;58;43;32;27;3;4;19;14;37;50;45;6;5
1356;25;33;2;47;16;8;22;23;48;1;34;13;51;17;21;3;9;37;30;36
1357;30;19;17;11;39;13;15;26;24;2;31;6;18;3;9;27;10;1;4;8
1358;42;46;55;4;50;39;53;49;20;59;21;32;54;29;6;11;18;17;27;7
1359;8;44;46;31;33;14;24;32;52;19;21;51;60;29;38;17;49;28;27;58
1360;26;23;22;50;4;32;53;52;6;28;15;3;49;12;18;11;51;20;37;57
1361;4;58;10;27;22;48;56;54;40;24;46;18;47;16;38;33;21;37;8;7
1362;36;43;14;38;25;54;3;52;15;53;16;32;24;22;44;57;7;27;46;19
1363;57;8;7;37;27;40;56;20;49;19;26;4;16;1;2;59;34;30;24;18
1364;59;34;30;1;49;7;55;10;3;52;58;40;39;19;15;45;37;51;14;13
1365;15;50;33;52;44;54;60;43;32;57;13;31;51;42;25;23;21;29;5;3
1366;21;19;51;6;34;27;53;3;14;1;11;7;48;20;47;12;37;38;25;5
1367;60;38;11;16;35;45;12;29;17;21;19;27;20;57;34;15;39;23;1;54
1368;54;37;53;60;59;31;10;41;22;21;26;35;9;58;33;3;12;15;20;18
1369;18;32;55;20;23;47;5;60;28;54;9;10;16;38;31;53;34;1;12;33
1370;10;17;39;58;23;29;34;13;59;24;5;46;43;28;9;30;35;50;56;3
1371;32;34;2;44;58;43;16;18;5;29;31;59;37;36;60;3;54;17;48;15
1372;18;45;52;47;46;13;34;48;60;11;23;28;16;1;35;20;40;56;12;2
1373;16;59;48;10;40;1;38;35;14;2;55;22;47;19;36;8;13;5;60;57
1374;52;36;22;27;57;46;38;43;20;3;5;49;35;42;56;21;7;32;31;28
1375;12;31;30;49;7;54;40;19;55;46;53;37;8;20;3;13;9;23;36;15
1376;51;33;17;22;18;31;7;35;40;15;13;30;24;53;6;20;37;44;25;48
1377;25;38;36;45;11;14;10;2;46;7;48;35;34;33;27;22;3;26;4;57
1378;32;50;39;8;53;58;40;30;16;35;4;56;5;31;9;38;51;57;55;28
1379;42;28;48;22;16;34;4;59;46;41;27;39;2;10;18;21;17;26;50;23
1380;29;53;35;26;39;43;46;5;51;17;52;1;34;24;33;28;7;15;57;55
1381;39;36;17;14;22;3;1;43;13;19;50;40;30;16;23;58;45;2;21;33
1382;9;23;31;39;54;24;17;45;15;57;22;4;7;47;14;29;32;42;12;28
1383;18;44;20;11;13;34;29;27;8;46;57;40;43;25;56;5;30;38;2;10
1384;19;55;39;18;30;37;35;3;59;23;46;9;12;27;52;24;45;40;21;13
1385;32;27;11;18;48;51;42;14;60;35;55;20;8;30;3;12;39;17;7;59
1386;17;41;55;42;48;52;45;9;47;60;1;39;24;46;58;30;21;18;33;40
1387;4;36;29;2;53;40;48;26;8;57;42;38;54;33;3;31;43;34;11;5
1388;55;46;22;40;39;60;36;23;24;13;38;59;29;12;5;56;54;50;47;14
1389;48;10;9;51;28;47;58;34;31;24;32;6;36;20;37;23;38;52;55;16
1390;56;22;34;55;48;29;5;43;47;59;53;51;36;32;33;31;44;7;21;42
1391;60;1;16;31;37;7;48;30;11;33;14;51;17;19;21;32;52;26;12;5
1392;3;42;38;7;6;57;5;39;46;20;47;9;48;32;10;11;51;53;52;16
1393;23;15;29;59;60;27;32;53;4;28;5;48;2;45;26;17;31;57;16;24
1394;4;36;54;60;1;28;52;45;32;59;55;15;43;56;49;9;42;25;58;40
1395;5;48;29;60;3;20;12;15;16;11;18;37;59;19;21;41;17;45;53;28
1396;31;12;7;49;52;2;6;24;45;51;56;23;28;33;55;26;30;44;27;36
1397;58;2;26;15;55;19;34;21;18;44;51;37;29;17;12;46;7;20;48;54
1398;1;26;57;11;45;56;14;8;10;54;48;51;37;20;42;9;21;31;44;30
1399;20;26;34;47;25;60;18;52;1;40;28;15;24;22;4;3;12;50;10;55
1400;17;44;54;11;16;4;21;23;25;57;53;12;40;1;24;27;38;18;34;7
1401;42;45;10;30;34;35;4;24;37;40;36;54;26;59;48;1;49;31;8;50
1402;33;11;1;23;44;34;26;30;15;16;6;24;17;60;38;8;42;45;47;21
1403;52;33;48;10;12;3;40;42;8;50;57;22;36;4;59;55;25;35;7;1
1404;3;46;29;42;48;4;59;23;24;44;37;53;57;17;45;55;36;39;8;56
1405;9;1;8;38;7;26;14;31;52;57;21;25;29;19;42;22;2;16;36;40
1406;2;35;46;37;21;16;59;15;57;29;41;33;14;54;17;23;19;45;38;44
1407;41;28;13;46;21;5;3;54;53;14;59;10;45;27;50;30;8;15;60;32
1408;4;38;7;19;54;6;41;14;60;34;3;25;51;15;11;48;58;50;12;9
1409;24;13;18;37;56;16;21;60;4;26;3;52;1;59;48;19;27;57;53;31
1410;36;43;38;8;30;33;29;45;2;12;18;58;55;50;9;31;56;54;34;39
1411;5;21;26;31;54;12;4;22;16;11;53;17;25;45;34;19;55;33;15;18
1412;44;3;32;19;28;5;22;39;17;15;56;4;43;29;25;45;26;36;38;12
1413;24;59;26;19;57;48;47;17;52;58;34;42;18;60;31;22;51;1;14;37
1414;47;5;10;34;35;8;14;43;37;27;15;1;4;39;28;36;58;13;25;53
1415;51;15;56;41;46;52;50;39;57;53;32;37;40;14;31;25;23;45;43;44
1416;19;10;58;24;13;31;44;18;11;26;45;29;47;51;14;32;3;2;57;53
1417;40;41;12;34;4;29;9;58;52;13;7;53;22;18;59;60;46;57;5;20
1418;19;34;35;53;37;17;31;23;2;14;7;40;18;3;47;4;1;45;57;32
1419;1;13;25;23;45;52;58;18;60;43;32;5;9;46;19;22;54;47;28;51
1420;22;53;58;33;54;41;50;20;4;60;43;35;5;32;49;18;40;19;15;24
1421;5;59;25;53;47;17;32;4;52;39;60;58;21;55;12;45;33;34;37;51
1422;56;24;23;6;30;25;8;42;37;53;59;12;1;14;29;36;45;9;46;60
1423;6;5;23;12;11;7;33;38;37;53;47;51;10;56;21;17;16;31;58;27
1424;49;18;3;53;2;33;24;5;6;43;40;21;13;38;51;19;1;47;25;22
1425;50;46;28;32;25;59;7;44;49;8;56;41;48;1;51;11;14;29;47;34
1426;24;12;42;38;29;56;55;48;15;17;21;4;5;10;1;58;36;22;16;32
1427;46;34;8;40;7;42;4;18;6;50;16;53;1;58;56;41;3;36;20;28
1428;50;19;11;30;42;16;32;7;41;57;22;38;2;12;45;14;1;15;24;35
1429;23;42;31;53;19;8;59;21;54;2;32;30;35;46;14;36;51;47;6;43
1430;28;59;21;43;52;53;19;35;3;9;24;41;39;26;20;1;45;58;27;37
1431;60;54;48;31;30;52;59;15;36;2;42;35;46;16;44;10;40;27;17;14
1432;57;17;25;33;15;38;35;50;32;39;46;11;19;53;54;56;8;48;24;4
1433;5;14;20;6;52;39;34;13;11;42;9;15;24;8;17;47;33;38;29;60
1434;28;9;31;21;43;24;58;51;13;49;44;36;35;27;8;2;46;3;60;26
1435;49;1;41;50;48;46;53;3;9;24;27;22;5;55;54;45;15;7;26;51
1436;3;21;8;33;42;32;30;13;16;15;9;52;14;55;48;49;39;28;57;4
1437;6;51;20;54;32;56;16;46;17;2;45;58;30;59;22;55;15;10;31;18
1438;41;16;6;28;47;40;55;53;48;26;46;24;52;60;27;14;3;21;1;15
1439;4;17;8;9;57;5;28;1;45;27;14;50;48;52;16;22;56;26;6;13
1440;3;14;50;18;40;58;45;49;53;16;47;23;7;59;26;52;6;20;44;22
1441;45;30;1;32;44;56;36;43;18;11;27;58;29;26;53;4;40;48;15;38
1442;27;3;55;25;57;51;12;14;6;49;8;31;22;32;54;58;18;30;33;16
1443;34;21;33;27;32;45;48;59;22;60;1;28;50;8;44;58;16;52;17;49
1444;11;15;3;16;46;32;34;60;52;21;40;29;2;6;59;47;24;7;43;13
1445;43;50;13;49;30;27;34;33;58;21;59;8;2;7;38;6;53;54;36;19
1446;59;16;27;15;45;34;57;28;35;43;13;22;31;12;11;49;6;54;44;55
1447;8;59;29;1;33;27;4;14;11;37;2;45;19;7;31;40;38;15;22;28
1448;7;20;33;57;56;12;55;23;49;17;39;51;2;35;44;1;9;52;14;18
